Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
164,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The week after [Christmas] is big business for retailers , making up 15 percent of sales last year , according research from [ShopperTrak] , which tracks sales and traffic at more than 50,000 outlets . Options: A. [ShopperTrak] dissolved in [Christmas] B. [ShopperTrak] was founded in [Christmas] C. [ShopperTrak] has no known relations to [Christmas]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
165,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Meanwhile the two Chinese players most seriously injured in the brawl , Zheng Tao and team [captain] [Chen Tao] , who suffered a fractured eye socket , are planning to appeal to world football 's governing body FIFA over the incident . Options: A. [Chen Tao] is a [captain] B. [Chen Tao] has the religion [captain] C. [Chen Tao] has the age [captain] D. [Chen Tao] died because of [captain] E. [Chen Tao] is convicted of [captain] F. [Chen Tao] has no known relations to [captain]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
166,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [China] will soon release new regulations on attracting overseas investment , a deputy minister of the [National Development and Reform Commission] ( NDRC ) , China 's top economic planning agency , said here Saturday . Options: A. [National Development and Reform Commission] has a branch in the country [China] B. [National Development and Reform Commission] has the member [China] C. [National Development and Reform Commission] has a branch in the state or province [China] D. [National Development and Reform Commission] has a branch in the city [China] E. [National Development and Reform Commission] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",org:country_of_branch
167,B,G,"Determine which option can be inferred from the given Sentence.  Sentence: Arnold survives him , along with three children : James Bailey , her son from a previous relationship , whom [Lange] raised as his own ; [William A. Lange] ; and Joseph I. Lange . Options: A. [William A. Lange] is the identity/pronoun of [Lange] B. [William A. Lange] and [Lange] are the same person C. [William A. Lange] is the parent of [Lange] D. [William A. Lange] is the spouse of [Lange] E. [William A. Lange] is the siblings of [Lange] F. [William A. Lange] is the other family member of [Lange] G. [William A. Lange] has the parent [Lange] H. [William A. Lange] has no known relations to [Lange]  Which option can be inferred from the given Sentence? Option:",G,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:parents
168,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Recalling that the Red Cross dates back exactly 150 years , the pope said at his weekly general audience that he would '' use this occasion to urge the release of all those held in conflict zones and once more that of [Eugenio Vagni] , an employee of the [Red Cross] in the Philippines . '' Options: A. [Eugenio Vagni] is the employee of [Red Cross] B. [Eugenio Vagni] studied in [Red Cross] C. [Eugenio Vagni] has no known relations to [Red Cross]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:employee_of
169,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Rather than clarifying the saga of what prosecutors said was a sex game gone fatally awry , the conviction of [Amanda Knox] , [22] , a Seattle college student , for killing her roommate , Meredith Kercher , 21 , seemed only to heighten the conflicting public opinions . Options: A. [Amanda Knox] has the age [22] B. [Amanda Knox] has birthday on [22] C. [Amanda Knox] died in the date [22] D. [Amanda Knox] has no known relations to [22]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",per:age
170,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: [Italy] closing in on Cosa Nostra supremo : minister Italian authorities are closing in on Sicilian Mafia supremo [Matteo Messina Denaro] , Interior Minister Roberto Maroni said Monday as he announced the arrest of Denaro 's brother and 18 associates . Options: A. [Matteo Messina Denaro] lives in the country [Italy] B. [Matteo Messina Denaro] has the nationality [Italy] C. [Matteo Messina Denaro] is the employee of [Italy] D. [Matteo Messina Denaro] was born in the country [Italy] E. [Matteo Messina Denaro] died in the country [Italy] F. [Matteo Messina Denaro] lives in the city [Italy] G. [Matteo Messina Denaro] died in the city [Italy] H. [Matteo Messina Denaro] has no known relations to [Italy]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:countries_of_residence
171,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: But [Zhang Guobao] , head of the [National Energy Administration] , said this was due to a change in the nation 's industrial mix . Options: A. [National Energy Administration] was founded by [Zhang Guobao] B. [National Energy Administration] has the high level member [Zhang Guobao] C. [National Energy Administration] has shares hold in [Zhang Guobao] D. [National Energy Administration] has no known relations to [Zhang Guobao]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees
172,A,A,Determine which option can be inferred from the given Sentence.  Sentence: South Korea 's Yonhap News Agency announced on Monday it will invite leaders of members of the [Organization of Asia-Pacific News Agencies] ( [OANA] ) to a summit set to be held here in April . Options: A. [Organization of Asia-Pacific News Agencies] is also known as [OANA] B. [Organization of Asia-Pacific News Agencies] has the member [OANA] C. [Organization of Asia-Pacific News Agencies] is the member of [OANA] D. [Organization of Asia-Pacific News Agencies] has shares hold in [OANA] E. [Organization of Asia-Pacific News Agencies] has no known relations to [OANA]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:alternate_names
173,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: Former director of the Chongqing Municipal Judicial Bureau [Wen Qiang] , 55 , was convicted at the Chongqing No. 5 Intermediate People 's Court of accepting bribes , protecting criminal gangs , [rape] and failing to account for his cash and assets . Options: A. [Wen Qiang] died because of [rape] B. [Wen Qiang] is convicted of [rape] C. [Wen Qiang] has no known relations to [rape]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",per:charges
174,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: '' Just like they played football on Tuesday night , '' said [Bill Martin] , the founder of [ShopperTrak] , referring to the Eagles-Vikings game that was rescheduled from Sunday because of the snow , '' shoppers will be back in the stores Wednesday , Thursday and Friday . '' Options: A. [ShopperTrak] was founded by [Bill Martin] B. [ShopperTrak] has the high level member [Bill Martin] C. [ShopperTrak] has shares hold in [Bill Martin] D. [ShopperTrak] has no known relations to [Bill Martin]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by
175,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Libya plane crash survivor leaves for home : AFP reporter Nine-year-old [Dutch] boy [Ruben van Assouw] , the sole survivor of a plane crash that killed 103 people , left for home on Saturday aboard a Libyan air ambulance , an AFP reporter said . Options: A. [Ruben van Assouw] has the nationality [Dutch] B. [Ruben van Assouw] died in the country [Dutch] C. [Ruben van Assouw] is the employee of [Dutch] D. [Ruben van Assouw] lives in the country [Dutch] E. [Ruben van Assouw] was born in the city [Dutch] F. [Ruben van Assouw] was born in the country [Dutch] G. [Ruben van Assouw] was born in the state or province [Dutch] H. [Ruben van Assouw] has no known relations to [Dutch]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",per:origin
176,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [Chicago] research firm [Shoppertrak] , which tallies sales in more than 70,000 retail outlets across the country , said the total was still a record for the day . Options: A. [Shoppertrak] has a branch in the city [Chicago] B. [Shoppertrak] has the member [Chicago] C. [Shoppertrak] has a branch in the state or province [Chicago] D. [Shoppertrak] has a branch in the country [Chicago] E. [Shoppertrak] has no known relations to [Chicago]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",org:city_of_branch
177,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Kercher , from Coulsdon , south London , was found semi-nude in a pool of blood with her throat cut in the house in [Perugia] , a medieval walled city in central Italy , that she shared with [Knox] . Options: A. [Knox] is the employee of [Perugia] B. [Knox] died in the city [Perugia] C. [Knox] lives in the city [Perugia] D. [Knox] was born in the city [Perugia] E. [Knox] has the nationality [Perugia] F. [Knox] lives in the state or province [Perugia] G. [Knox] lives in the country [Perugia] H. [Knox] has no known relations to [Perugia]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:cities_of_residence
178,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The [China Charity Federation] ( CCF ) launched a new website , www.usnow.org , in collaboration of over 200 institutions and companies on [Thursday] . Options: A. [China Charity Federation] dissolved in [Thursday] B. [China Charity Federation] was founded in [Thursday] C. [China Charity Federation] has no known relations to [Thursday]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
179,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: One of the first contributions came from [Michael Lomax] , [president] of the United Negro College Fund and a member of the museum 's board . Options: A. [Michael Lomax] is a [president] B. [Michael Lomax] has the religion [president] C. [Michael Lomax] has the age [president] D. [Michael Lomax] died because of [president] E. [Michael Lomax] is convicted of [president] F. [Michael Lomax] has no known relations to [president]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
